Date,Close
2008-12-11,76.61
2008-12-12,77.525
2008-12-15,76.444
2008-12-16,80.042
2008-12-17,79.266
2008-12-18,77.788
2008-12-19,76.827
2008-12-22,75.843
2008-12-23,75.058
2008-12-24,75.495
2008-12-26,75.931
2008-12-29,75.713
2008-12-30,77.508
2008-12-31,78.614
2009-01-02,80.984
2009-01-05,80.888
2009-01-06,81.427
2009-01-07,78.989
2009-01-08,79.311
2009-01-09,77.611
2009-01-12,75.746
2009-01-13,75.887
2009-01-14,73.501
2009-01-15,73.527
2009-01-16,74.101
2009-01-20,70.189
2009-01-21,73.221
2009-01-22,72.088
2009-01-23,72.403
2009-01-26,72.901
2009-01-27,73.639
2009-01-28,76.131
2009-01-29,73.657
2009-01-30,72.158
2009-02-02,71.939
2009-02-03,72.949
2009-02-04,72.595
2009-02-05,73.675
2009-02-06,75.772
2009-02-09,75.879
2009-02-10,72.403
2009-02-11,72.829
2009-02-12,72.883
2009-02-13,72.098
2009-02-17,69.014
2009-02-18,68.849
2009-02-19,68.108
2009-02-20,67.444
2009-02-23,65.031
2009-02-24,67.497
2009-02-25,66.966
2009-02-26,65.878
2009-02-27,64.404
2009-03-02,61.504
2009-03-03,61.043
2009-03-04,62.487
2009-03-05,59.936
2009-03-06,60.043
2009-03-09,59.334
2009-03-10,62.872
2009-03-11,63.282
2009-03-12,65.772
2009-03-13,66.286
2009-03-16,66.086
2009-03-17,68.108
2009-03-18,69.634
2009-03-19,68.771
2009-03-20,66.828
2009-03-23,71.627
2009-03-24,70.214
2009-03-25,70.955
2009-03-26,72.403
2009-03-27,71.098
2009-03-30,68.64
2009-03-31,69.276
2009-04-01,70.617
2009-04-02,72.683
2009-04-03,73.403
2009-04-06,72.829
2009-04-07,71.13
2009-04-08,71.897
2009-04-09,74.756
2009-04-13,74.772
2009-04-14,73.484
2009-04-15,74.267
2009-04-16,75.358
2009-04-17,75.861
2009-04-20,72.683
2009-04-21,74.101
2009-04-22,73.648
2009-04-23,74.37
2009-04-24,75.495
2009-04-27,74.781
2009-04-28,74.546
2009-04-29,76.131
2009-04-30,76.157
2009-05-01,76.566
2009-05-04,79.172
2009-05-05,78.9
2009-05-06,80.268
2009-05-07,79.155
2009-05-08,81.002
2009-05-11,79.485
2009-05-12,79.25
2009-05-13,77.254
2009-05-14,77.917
2009-05-15,77.281
2009-05-18,79.475
2009-05-19,79.38
2009-05-20,78.851
2009-05-21,77.716
2009-05-22,77.55
2009-05-26,79.539
2009-05-27,78.118
2009-05-28,79.208
2009-05-29,80.61
2009-06-01,82.559
2009-06-02,82.63
2009-06-03,81.585
2009-06-04,82.351
2009-06-05,82.369
2009-06-08,82.028
2009-06-09,82.448
2009-06-10,82.238
2009-06-11,82.602
2009-06-12,82.83
2009-06-15,80.931
2009-06-16,79.833
2009-06-17,79.757
2009-06-18,80.34
2009-06-19,80.182
2009-06-22,77.778
2009-06-23,77.838
2009-06-24,78.508
2009-06-25,80.218
2009-06-26,80.008
2009-06-29,80.757
2009-06-30,80.104
2009-07-01,80.434
2009-07-02,78.239
2009-07-06,78.229
2009-07-07,76.714
2009-07-08,76.662
2009-07-09,76.812
2009-07-10,76.627
2009-07-13,78.491
2009-07-14,78.936
2009-07-15,81.244
2009-07-16,82.019
2009-07-17,82.003
2009-07-20,82.875
2009-07-21,83.257
2009-07-22,83.24
2009-07-23,85.078
2009-07-24,85.426
2009-07-27,85.68
2009-07-28,85.277
2009-07-29,85.069
2009-07-30,85.956
2009-07-31,86.08
2009-08-03,87.5
2009-08-04,87.726
2009-08-05,87.473
2009-08-06,87.022
2009-08-07,88.164
2009-08-10,87.98
2009-08-11,86.881
2009-08-12,87.813
2009-08-13,88.484
2009-08-14,87.805
2009-08-17,85.646
2009-08-18,86.323
2009-08-19,87.079
2009-08-20,87.98
2009-08-21,89.705
2009-08-24,89.696
2009-08-25,89.87
2009-08-26,89.879
2009-08-27,90.079
2009-08-28,90.061
2009-08-31,89.26
2009-09-01,87.29
2009-09-02,86.96
2009-09-03,87.682
2009-09-04,88.912
2009-09-08,89.678
2009-09-09,90.365
2009-09-10,91.289
2009-09-11,91.271
2009-09-14,91.718
2009-09-15,92.1
2009-09-16,93.493
2009-09-17,93.353
2009-09-18,92.971
2009-09-21,92.731
2009-09-22,93.267
2009-09-23,92.501
2009-09-24,91.481
2009-09-25,90.993
2009-09-28,92.622
2009-09-29,92.341
2009-09-30,91.985
2009-10-01,89.731
2009-10-02,89.287
2009-10-05,90.618
2009-10-06,91.918
2009-10-07,92.167
2009-10-08,92.872
2009-10-09,93.437
2009-10-12,93.8
2009-10-13,93.612
2009-10-14,95.217
2009-10-15,95.56
2009-10-16,94.861
2009-10-19,95.636
2009-10-20,95.141
2009-10-21,94.288
2009-10-22,95.237
2009-10-23,94.158
2009-10-26,93.131
2009-10-27,92.713
2009-10-28,90.957
2009-10-29,92.909
2009-10-30,90.219
2009-11-02,90.881
2009-11-03,91.168
2009-11-04,91.403
2009-11-05,93.085
2009-11-06,93.325
2009-11-09,95.447
2009-11-10,95.467
2009-11-11,95.952
2009-11-12,94.988
2009-11-13,95.492
2009-11-16,96.875
2009-11-17,96.983
2009-11-18,96.915
2009-11-19,95.665
2009-11-20,95.322
2009-11-23,96.556
